Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Apr 16th, 2022",farmersmarket_301353_11164_20220416132919.png,301353,Cave Spring Farmers Market,,CLAUDIA L LITTRELL,claudiafungihead@gmail.com,6788710288,,https://www.facebook.com/Cave-Spring-Farmers-Market-107965954240659/?view_public_for=107965954240659,,,,,,"6770 Cave Spring Road Southwest, Cave Spring, Georgia 30124, USA",Georgia,Cave Spring,6770 Cave Spring Road Southwest,30124,-85.30863339999999,34.1332366,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Eggs, Fresh/dried herbs, Honey, Mushrooms, Prepared foods, Soap/body care products"
farmers market,"Apr 2nd, 2022",farmersmarket_301442_11126_20220402152142.png,301442,Lilburn Farmers Market,,Mandy McManus,lilburnfarmersmarket@hotmail.com,678-667-2592,www.lilburnfarmersmarket.org,www.facebook.com/lilburnfarmersmarket,,,,,,"1400 Killian Hill Rd, Lilburn, Georgia 30047",Georgia,Lilburn,1400 Killian Hill Rd,30047,-84.081093,33.859588,May to August,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Eggs, Fish/seafood, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Nuts, Pet food, Prepared foods, Soap/body care products"
farmers market,"Aug 16th, 2020",default-farmersmarket-4-3.jpg,301227,Artistlane Farmers Market,,Anita Miller,artist7create@gmail.com,706-504-3304,,,,,,,,"1966 Broad Street, Augusta-Richmond County consolidated government (balance), Georgia 30904",Georgia,Augusta-Richmond County consolidated government (b,1966 Broad Street,30904,-82.073422,33.365531,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Nursery stock, Nuts, Poultry/fowl meat and products, Wild harvested forest products"
farmers market,"Aug 3rd, 2020",default-farmersmarket-4-3.jpg,300499,Cotton Mill Farmers Market,,Wendy Crager,wcrager@yahoo.com,770-537-3720,http://www.cottonmillfarmersmarket.org,https://www.facebook.com/cottonmillfarmersmarket/?ref=settings,,,,,,"609 Dixie Street, Carrollton, Georgia 30117",Georgia,Carrollton,609 Dixie Street,30117,-85.072740,33.571347,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Honey, Juices/non-alcoholic ciders, Mushrooms, Nursery stock, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Aug 4th, 2020",default-farmersmarket-4-3.jpg,301199,Barrow County Farmers Market,,Nannette Kallestad,manager@barrowcountyfarmersmarket.com,252-202-8873,www.barrowcountyfarmersmarket.com,https://www.facebook.com/barrowcountyfarmersmarket,,,,,,"30 N. Broad St, Winder, Georgia 30680",Georgia,Winder,30 N. Broad St,30680,-83.721123,33.993074,May to November,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Eggs, Fresh/dried herbs, Honey, Mushrooms, Nuts, Prepared foods, Soap/body care products"
farmers market,"Dec 15th, 2020",default-farmersmarket-4-3.jpg,301357,Growing Augusta Pop-Up Market,,karen gordon,growingaugusta@gmail.com,7622335299,https://www.growingaugusta.co/markets,http://facebook.com/growingaugusta,http://twitter.com/growingaugusta,,,https://www.youtube.com/channel/UCHc7WOK79WWDmzvRKhn9yew,,"3647 Karleen Rd, Hephzibah, Georgia 30815",Georgia,Hephzibah,3647 Karleen Rd,30815,-82.118340,33.387808,Year-round,"Fresh vegetables, Cut flowers, Juices/non-alcoholic ciders, Nursery stock, Soap/body care products"
farmers market,"Dec 29th, 2020",default-farmersmarket-4-3.jpg,300474,"Athens Farmers Market, LLC",,Sarah Thurman,marketmanager@athensfarmersmarket.net,8052179075,http://www.athensfarmersmarket.net/,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt,,,,,"705 Sunset Dr, Athens, Georgia 30606",Georgia,Athens,705 Sunset Dr,30606,-83.412131,33.9644564,March to December,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Dec 29th, 2020",default-farmersmarket-4-3.jpg,300475,"Athens Farmers Market, LLC",,Sarah Thurman,marketmanager@athensfarmersmarket.net,8052179075,http://www.athensfarmersmarket.net/,https://www.facebook.com/AthensFarmersMarket,https://twitter.com/AthFarmersMkt,,,,,"271 W Hancock Ave, Athens, Georgia 30601",Georgia,Athens,271 W Hancock Ave,30601,-83.380247,33.959088,April to November,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Cut flowers, Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Jan 10th, 2022",default-farmersmarket-4-3.jpg,301628,Morningside Farmers Market,,Aubrey Cyphert,manager@morningsidemarket.com,814-746-6437,https://www.morningsidemarket.com,https://www.facebook.com/morningsidefarmersmarket,,,,,,"1411 N. Morningside Drive NE, Atlanta , Georgia 30306",Georgia,Atlanta,1411 N. Morningside Drive NE,30306,-84.356113,33.793194,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Coffee/tea, Cut flowers, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Mushrooms, Nuts, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
farmers market,"Jan 26th, 2021",default-farmersmarket-4-3.jpg,300304,Mulberry Market,,Lacey Resch,lresch@chwg.org,4782545216,www.mulberrymarket.org,https://www.facebook.com/MulberryStreetMarket,,,,,,"1155 College Street, Macon, Georgia 31201",Georgia,Macon,1155 College Street,31201,-83.646551,32.833797,Year-round,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Mushrooms, Nuts, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
