Type,ModifyDate,Image,ListingID,Name,Description,ContactName,ContactEmail,ContactPhone,Website,Facebook,Twitter,Instagram,Pinterest,Youtube,Blog,Address,State,City,Street,Zip,Longitude,Latitude,Dates,Products
farmers market,"Aug 15th, 2024",farmersmarket_301221_11254_20240815142544.png,301221,Andover Farmers Market,,Fran Healey,AndoverFarmersMkt@gmail.com,978-475-0321,http://andoverfarmersmarket.com/,https://www.facebook.com/andoverfarmersmarket/?view_public_for=153480551390115,,,,,,"41 Central Street, Andover, Massachusetts 01810",Massachusetts,Andover,41 Central Street,01810,-71.143138,42.653616,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Honey, Maple products, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Aug 3rd, 2020",default-farmersmarket-4-3.jpg,301191,Natick Winter Market,,Deb Sayre,natickfarmersmarket@gmail.com,508-259-9118,www.natickfarmersmarekt.org,,,,,,,"Common Street, Natick, Massachusetts 01760",Massachusetts,Natick,Common Street,01760,-71.341206,42.290237,November,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Honey, Maple products, Mushrooms, Nuts, Poultry/fowl meat and products, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products"
farmers market,"Aug 5th, 2020",default-farmersmarket-4-3.jpg,300378,Somerville Mobile Farmers' Market - Mystic,,Shape Up Somerville,sus@somervillema.gov,617-625-6600 x4321,bit.ly/tsmfm,facebook.com/shapeupsomerville,twitter.com/shapeupsville,,,,,"530 Mystic Avenue, Somerville, Massachusetts 02145",Massachusetts,Somerville,530 Mystic Avenue,02145,-71.091856,42.396251,July to October,"Fresh fruits, Fresh vegetables, Fresh/dried herbs"
farmers market,"Aug 5th, 2020",default-farmersmarket-4-3.jpg,300379,Somerville Mobile Farmers' Market - North Street,,Shape Up Somerville,sus@somervillema.gov,6176256600 x4321,bit.ly/tsmfm,facebook.com/shapeupsomerville,twitter.com/shapeupsville,,,,,"24 North Street, Somerville, Massachusetts 02144",Massachusetts,Somerville,24 North Street,02144,-71.131331,42.407206,July to October,"Fresh fruits, Fresh vegetables, Fresh/dried herbs"
farmers market,"Aug 5th, 2020",default-farmersmarket-4-3.jpg,301206,Somerville Mobile Farmers' Market - Council on Aging,,Shape Up Somerville,sus@somervillema.gov,617-625-6600,bit.ly/tsmfm,www.facebook.com/shapeupsomerville,@shapeupsville,,,,,"167 Holland Street, Somerville, Massachusetts 02144",Massachusetts,Somerville,167 Holland Street,02144,-71.125686,42.400980,July to October,"Fresh fruits, Fresh vegetables"
farmers market,"Aug 5th, 2020",default-farmersmarket-4-3.jpg,301207,Somerville Mobile Farmers' Market - East Somerville Community School,,Erica Satin-Hernandez,sus@somervillema.gov,6176256600 x4321,bit.ly/tsmfm,www.facebook.com/shapeupsomerville,@shapeupsville,,,,,"50 Cross Street, Somerville, Massachusetts 02145",Massachusetts,Somerville,50 Cross Street,02145,-71.087099,42.385778,July to October,"Fresh fruits, Fresh vegetables"
farmers market,"Feb 9th, 2021",default-farmersmarket-4-3.jpg,301394,East Boston Farmers Market - Summer/Early Fall,,East Boston Farmers Market,farmersmarket@ebnhc.org,617-568-4783,https://external.ebnhc.org/en/food-access/farmers-market.html,https://www.facebook.com/EastBostonFarmersMarket?fref=ts,,,,,,"Across from 201 Border St., East Boston, Massachusetts 02128",Massachusetts,East Boston,Across from 201 Border St.,02128,-71.039467,42.374945,July to October,"Fresh fruits, Fresh vegetables, Baked goods, Dairy products., Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Mushrooms, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Tofu/non-animal protein"
farmers market,"Feb 9th, 2022",default-farmersmarket-4-3.jpg,301652,Easthampton Farmers' Market,,Easthampton Farmers' Market,easthamptonfarmersmarket@gmail.com,000-000-0000,easthamptonmarket.com,https://www.facebook.com/EasthamptonFarmersMarket,https://www.instagram.com/easthamptonmarket/,,,,,"50 Payson Ave, Easthampton, Massachusetts 01027",Massachusetts,Easthampton,50 Payson Ave,01027,-72.669332,42.265213,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Cut flowers, Dairy products., Eggs, Fresh/dried herbs, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products, Wild harvested forest products, Wine, spirits, beer, hard cider"
farmers market,"Jan 12th, 2021",default-farmersmarket-4-3.jpg,301376,Westfield Farmers Market,,Mary Kadomoto,farmersmarketwestfield@gmail.com,413-562-5461 x 101,www.westfieldfarmersmarket.org,Westfieldfarmersmarket,,,,,,"36 Court St, Westfield , Massachusetts 01085",Massachusetts,Westfield,36 Court St,01085,-72.751662,42.119742,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Honey, Poultry/fowl meat and products"
farmers market,"Jan 20th, 2021",default-farmersmarket-4-3.jpg,300395,Carver Farmers Market,,Michael Nash,nashnursery@gmail.com,508-866-2428,,,,,,,,"108 Main St., Carver, Massachusetts 02330",Massachusetts,Carver,108 Main St.,02330,-70.769182,41.888852,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Eggs, Fish/seafood, Fresh/dried herbs, Honey, Nursery stock, Poultry/fowl meat and products, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Jan 25th, 2021",default-farmersmarket-4-3.jpg,300253,Hopkinton Farmers Market,,Laura Davis,hopkintonharvest@gmail.com,508-596-1651,www.hopkintonfarmersmarket.com,https://www.facebook.com/HopkintonFarmersMarket,,,,,,"Main Street and Ash Street, Hopkinton, Massachusetts 01748",Massachusetts,Hopkinton,Main Street and Ash Street,01748,-71.517770,42.229299,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Dairy products., Eggs, Fresh/dried herbs, Honey, Maple products, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products"
farmers market,"Jan 26th, 2021",default-farmersmarket-4-3.jpg,300286,Ashland Farmers Market,,Rob Moolenbeek,info@AshlandFarmersMarket.org,5088816345,http://www.ashlandfarmersmarket.org/,https://www.facebook.com/AshlandMAFarmersMarket,,,,,,"125 Front St, Ashland, Massachusetts 01721",Massachusetts,Ashland,125 Front St,01721,-71.461538,42.260027,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Eggs, Fish/seafood, Fresh/dried herbs, Honey, Maple products, Mushrooms, Pet food, Poultry/fowl meat and products, Red/other non-poultry meat and products, Soap/body care products, Wine, spirits, beer, hard cider"
farmers market,"Jan 27th, 2021",default-farmersmarket-4-3.jpg,300088,Marshfield Farmer's Market,,Lorrie Dahlen,farmersmarket@marshfieldfair.org,7816350889,https://marshfieldfair.org/farmers-market/,https://www.facebook.com/MarshfieldFM/,https://twitter.com/MarshfieldFM,,,,,"140 Main St  (Route 3A), Marshfield, Massachusetts 02050",Massachusetts,Marshfield,140 Main St  (Route 3A),02050,-70.717317,42.098148,January to May,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Coffee/tea, Crafts/woodworking items, Cut flowers, Dairy products., Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Maple products, Nuts, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Jan 31st, 2021",default-farmersmarket-4-3.jpg,300285,"Great Falls Farmers Market, Turners Falls",,Annie Levine,greatfallsfarmersmarketturners@gmail.com,7814927663,http://greatfallsfarmersmarketturners.blogspot.com/,https://www.facebook.com/GreatFallsFarmersMarket,,,,,,"Peskeomskut Park, Turners Falls, Massachusetts 01376",Massachusetts,Turners Falls,Peskeomskut Park,01376,-72.559612,42.606069,May to October,"Fresh fruits, Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Fresh/dried herbs, Honey, Maple products, Mushrooms, Prepared foods, Red/other non-poultry meat and products, Soap/body care products"
farmers market,"Jan 4th, 2021",default-farmersmarket-4-3.jpg,300128,Wayland Winter Farmers' Market,,Peg Mallett,mallettpeg@gmail.com,508-358-2283  ext.33,https://www.russellsgc.com/farmersmarket,https://www.facebook.com/pages/Wayland-Summer-Farmers-Market/216269755070032,Wayland Wint/Sum Mkt,,,,,"397 Boston Post Road, Wayland, Massachusetts 01778",Massachusetts,Wayland,397 Boston Post Road,01778,-71.369892,42.363071,June to October,"Fresh fruits, Fresh vegetables, Baked goods, Canned or preserved fruits/vegetables, Coffee/tea, Dairy products., Dry beans, Eggs, Fish/seafood, Fresh/dried herbs, Grains/flour, Honey, Juices/non-alcoholic ciders, Maple products, Mushrooms, Nuts, Pet food, Poultry/fowl meat and products, Prepared foods, Red/other non-poultry meat and products, Tofu/non-animal protein, Wine, spirits, beer, hard cider"
farmers market,"Jan 4th, 2021",default-farmersmarket-4-3.jpg,300392,Petersham Friday Market,,roy nilson,fridaymarket@petershamcommon.com,978-724-6662,www.petershamcommon.com/fridaymarket.htm,,,,,,,", Petersham, Massachusetts 01366",Massachusetts,Petersham,,01366,-72.186669,42.488744,June to October,"Fresh vegetables, Baked goods, Bedding plants, Canned or preserved fruits/vegetables, Crafts/woodworking items, Cut flowers, Eggs, Fresh/dried herbs, Honey, Maple products, Mushrooms, Poultry/fowl meat and products, Soap/body care products"
